    reftest_runner_test.go:134: Found 99 WPT reftest files
    reftest_runner_test.go:148: Summary: 99/99 passed, 0 failed
--- PASS: TestWPTReftests (3.62s)
    --- PASS: TestWPTReftests/backgrounds/background-004.xht (0.05s)
    --- PASS: TestWPTReftests/backgrounds/background-color-002.xht (0.04s)
    --- PASS: TestWPTReftests/backgrounds/background-image-repeat-x-001.xht (0.04s)
    --- PASS: TestWPTReftests/backgrounds/background-position-bottom-001.xht (0.04s)
    --- PASS: TestWPTReftests/backgrounds/background-shorthand-color-001.xht (0.04s)
    --- PASS: TestWPTReftests/borders/border-005.xht (0.05s)
    --- PASS: TestWPTReftests/borders/border-006.xht (0.04s)
    --- PASS: TestWPTReftests/borders/border-style-002.xht (0.03s)
    --- PASS: TestWPTReftests/box-display/anonymous-box-generation-001.xht (0.03s)
    --- PASS: TestWPTReftests/box-display/anonymous-boxes-inheritance-001.xht (0.04s)
    --- PASS: TestWPTReftests/box-display/block-in-inline-001.xht (0.04s)
    --- PASS: TestWPTReftests/box-display/block-in-inline-003.xht (0.03s)
    --- PASS: TestWPTReftests/box-display/box-generation-001.xht (0.04s)
    --- PASS: TestWPTReftests/box-display/box-generation-002.xht (0.04s)
    --- PASS: TestWPTReftests/box-display/display-none-001.xht (0.03s)
    --- PASS: TestWPTReftests/box-display/visibility-hidden-001.xht (0.03s)
    --- PASS: TestWPTReftests/cascade/cascade-009a.xht (0.05s)
    --- PASS: TestWPTReftests/colors/color-175.xht (0.03s)
    --- PASS: TestWPTReftests/colors/color-176.xht (0.03s)
    --- PASS: TestWPTReftests/colors/color-177.xht (0.03s)
    --- PASS: TestWPTReftests/colors/color-applies-to-001.xht (0.04s)
    --- PASS: TestWPTReftests/colors/color-applies-to-002.xht (0.03s)
    --- PASS: TestWPTReftests/colors/colors-007.xht (0.04s)
    --- PASS: TestWPTReftests/dimension-constraints/max-height-001.xht (0.03s)
    --- PASS: TestWPTReftests/dimension-constraints/max-width-001.xht (0.03s)
